Study,Month,Year,Date,Lat,Long,Top20m_Temp,Top20m_Salinity,NEAR_DIST,MarketSquid,JackMackerel,NorthernAnchovy,PacificMackerel,PacificHerring,PacificSardine,PacificSaury
SWFSC,June,2011,2011-06-29,44.67,-124.17,10.33857508,31.84390049,7052.366154,1,0,0,0,0,0,0
SWFSC,June,2011,2011-06-30,44,-124.1708,10.50609512,32.68975019,2613.536762,1,0,0,0,0,0,0
SWFSC,June,2011,2011-06-30,44,-124.2117,9.971344948,32.76379976,5522.359189,1,0,0,0,0,0,0
SWFSC,June,2011,2011-06-30,44,-124.275,9.793615007,32.32769995,10438.2221,0,1,0,0,0,0,0
SWFSC,June,2011,2011-06-30,44,-124.39,10.27742987,31.66274986,19579.75179,1,0,0,0,0,0,0
SWFSC,June,2011,2011-06-30,44,-124.5067,11.13113503,30.78880005,28908.96509,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-11,44,-124.1708,10.90081501,32.09869032,2613.536762,1,0,0,0,1,0,0
SWFSC,June,2012,2012-06-11,44,-124.2117,11.24588995,31.96759481,5522.359189,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-11,44,-124.275,11.31301503,32.0197299,10438.2221,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-11,44,-124.39,11.25819998,31.98666029,19579.75179,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-12,43.2167,-124.4333,8.646930027,33.37154961,2508.770601,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-12,43.2167,-124.4733,8.157994962,33.53515034,5734.748887,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-12,43.2167,-124.5633,11.67401505,31.74620504,13036.97877,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-12,43.2167,-124.655,11.21508498,31.69801025,20245.17996,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-12,43.2167,-124.77,12.66424731,31.2011263,28531.57011,0,0,0,0,0,0,0
